Test,items,Value,Time
00Uncorrelated,50,20995,0.00945281982421875
00Uncorrelated,1000,400811,0.004002571105957031
00Uncorrelated,200,84317,0.0010173320770263672
00Uncorrelated,500,207992,0.0010128021240234375
00Uncorrelated,1000,418472,0.0050029754638671875
01WeaklyCorrelated,50,15768,0.0010006427764892578
01WeaklyCorrelated,100,31064,0.0
01WeaklyCorrelated,200,56976,0.0
01WeaklyCorrelated,500,139258,0.0019969940185546875
01WeaklyCorrelated,1000,273052,0.0060083866119384766
02StronglyCorrelated,50,17539,0.019976139068603516
02StronglyCorrelated,100,35617,0.14303135871887207
02StronglyCorrelated,200,65363,300.0319011211395
02StronglyCorrelated,500,162178,300.08114886283875
02StronglyCorrelated,1000,316372,300.0803163051605
03InverseStronglyCorrelated,50,14914,46.52890491485596
03InverseStronglyCorrelated,100,30468,0.1336982250213623
03InverseStronglyCorrelated,200,54964,0.007006168365478516
03InverseStronglyCorrelated,500,136031,300.0540699958801
03InverseStronglyCorrelated,1000,263977,300.06158804893494
04AlmostStronglyCorrelated,50,17556,56.55639457702637
04AlmostStronglyCorrelated,100,35611,0.05498647689819336
04AlmostStronglyCorrelated,200,65385,300.0039076805115
04AlmostStronglyCorrelated,500,162154,300.01983165740967
04AlmostStronglyCorrelated,1000,316415,42.344454765319824
05SubsetSum,50,14239,0.011051654815673828
05SubsetSum,100,29017,0.0009963512420654297
05SubsetSum,200,51563,0.0
05SubsetSum,500,127278,0.0019910335540771484
05SubsetSum,1000,245972,0.004011392593383789
06UncorrelatedWithSimilarWeights,50,19676,0.045938730239868164
06UncorrelatedWithSimilarWeights,100,39791,8.278875827789307
06UncorrelatedWithSimilarWeights,200,75678,0.15589118003845215
06UncorrelatedWithSimilarWeights,500,189769,300.0547652244568
06UncorrelatedWithSimilarWeights,1000,371246,30.0075581073761
07SpannerUncorrelated,50,13472,0.008188962936401367
07SpannerUncorrelated,100,24228,300.0276222229004
07SpannerUncorrelated,200,47760,197.26585960388184
07SpannerUncorrelated,500,114616,300.0216052532196
07SpannerUncorrelated,1000,228624,300.0150737762451
08SpannerWeaklyCorrelated,50,10354,37.12014102935791
08SpannerWeaklyCorrelated,100,20550,0.12582015991210938
08SpannerWeaklyCorrelated,200,40575,19.635483503341675
08SpannerWeaklyCorrelated,500,98713,295.95564889907837
08SpannerWeaklyCorrelated,1000,196050,300.0535304546356
09SpannerStronglyCorrelated,50,28440,300.04531383514404
09SpannerStronglyCorrelated,100,51656,95.89944314956665
09SpannerStronglyCorrelated,200,101888,300.0351710319519
09SpannerStronglyCorrelated,500,245144,300.070552110672
09SpannerStronglyCorrelated,1000,488680,300.0548675060272
10MultipleStronglyCorrelated,50,21338,49.26424741744995
10MultipleStronglyCorrelated,100,43316,2.1482551097869873
10MultipleStronglyCorrelated,200,81658,28.65549111366272
10MultipleStronglyCorrelated,500,203778,300.0555305480957
10MultipleStronglyCorrelated,1000,399170,300.0334837436676
11ProfitCeiling,50,14229,88.73417234420776
11ProfitCeiling,100,29001,164.8171865940094
11ProfitCeiling,200,51540,300.0767033100128
11ProfitCeiling,500,127239,300.0595808029175
11ProfitCeiling,1000,245877,300.0795557498932
12Circle,50,300031,79.80356359481812
12Circle,100,611418,0.33798718452453613
12Circle,200,1086483,300.09755396842957
12Circle,500,2670954,160.36842679977417
12Circle,1000,5182856,0.016356945037841797
